rfsg_s_la,lnd_vrl,,,rfsg_s_la__lnd_vrl Landings Louisiana (lbs)
rfsg_s_la,rv_vrll,,,rfsg_s_la__rv_vrll Revenues Louisiana (USD)
rfsg_s_tx,lnd_vrl,,,rfsg_s_tx__lnd_vrl Landings Texas (lbs)
rfsg_s_tx,rv_vrll,,,rfsg_s_tx__rv_vrll Revenues Texas (USD)
rfdsg,lnd_vrl,,,rfdsg__lnd_vrl Overall Landings (lbs)
rfdsg,rv_vrll,,,rfdsg__rv_vrll Overall Revenues (USD)
rfdsg,lnd__rs,,,rfdsg__lnd__rs Landings Red Snapper (lbs)
rfdsg,rev__rs,,,rfdsg__rev__rs Revenues Red Snapper (USD)
rfdsg,lnd__ms,,,rfdsg__lnd__ms Landings Mid-depth snapper group (lbs)
rfdsg,rev__ms,,,rfdsg__rev__ms Revenues Mid-depth snapper group (USD)
rfdsg,lnd__ss,,,rfdsg__lnd__ss Landings Shallow-water snapper group (lbs)
rfdsg,rev__ss,,,rfdsg__rev__ss Revenues Shallow-water snapper group (USD)
rfdsg,lnd__sg,,,rfdsg__lnd__sg Landings Shallow-water grouper group (lbs)
rfdsg,rev__sg,,,rfdsg__rev__sg Revenues Shallow-water grouper group (USD)
rfdsg,lnd__dg,,,rfdsg__lnd__dg Landings Deep-water grouper group (lbs)
rfdsg,rev__dg,,,rfdsg__rev__dg Revenues Deep-water grouper group (USD)
rfdsg,lnd__tf,,,rfdsg__lnd__tf Landings Tilefishes group (lbs)
rfdsg,rev__tf,,,rfdsg__rev__tf Revenues Tilefishes group (USD)
rfdsg,lnd__ja,,,rfdsg__lnd__ja Landings Jacks group (lbs)
rfdsg,rev__ja,,,rfdsg__rev__ja Revenues Jacks group (USD)
rfdsg,lnd__tr,,,rfdsg__lnd__tr Landings Triggerfishes group (lbs)
rfdsg,rev__tr,,,rfdsg__rev__tr Revenues Triggerfishes group (USD)
rfdsg,lnd__gp,,,rfdsg__lnd__gp Landings Grunts and porgies group (lbs)
rfdsg,rev__gp,,,rfdsg__rev__gp Revenues Grunts and porgies group (USD)
rfdsg,lnd__cp,,,rfdsg__lnd__cp Landings Coastal pelagics group (lbs)
rfdsg,rev__cp,,,rfdsg__rev__cp Revenues Coastal pelagics group (USD)
rfdsg_t_2007_2014,lnd_vrl,,,rfdsg_t_2007_2014__lnd_vrl Landings 2007-2014 (lbs)
rfdsg_t_2007_2014,rv_vrll,,,rfdsg_t_2007_2014__rv_vrll Revenues 2007-2014 (USD)
rfdsg_t_2015_2021,lnd_vrl,,,rfdsg_t_2015_2021__lnd_vrl Landings 2015-2021 (lbs)
rfdsg_t_2015_2021,rv_vrll,,,rfdsg_t_2015_2021__rv_vrll Revenues 2015-2021 (USD)
rfdsg_s_fl,lnd_vrl,,,rfdsg_s_fl__lnd_vrl Landings Florida (lbs)
rfdsg_s_fl,rv_vrll,,,rfdsg_s_fl__rv_vrll Revenues Florida (USD)
rfbsg,lnd_vrl,,,rfbsg__lnd_vrl Overall Landings (lbs)
rfbsg,rv_vrll,,,rfbsg__rv_vrll Overall Revenues (USD)
rfbsg,lnd__rs,,,rfbsg__lnd__rs Landings Red Snapper (lbs)
rfbsg,rev__rs,,,rfbsg__rev__rs Revenues Red Snapper (USD)
rfbsg,lnd__ms,,,rfbsg__lnd__ms Landings Mid-depth snapper group (lbs)
rfbsg,rev__ms,,,rfbsg__rev__ms Revenues Mid-depth snapper group (USD)
rfbsg,lnd__ss,,,rfbsg__lnd__ss Landings Shallow-water snapper group (lbs)
rfbsg,rev__ss,,,rfbsg__rev__ss Revenues Shallow-water snapper group (USD)
rfbsg,lnd__sg,,,rfbsg__lnd__sg Landings Shallow-water grouper group (lbs)
rfbsg,rev__sg,,,rfbsg__rev__sg Revenues Shallow-water grouper group (USD)
rfbsg,lnd__dg,,,rfbsg__lnd__dg Landings Deep-water grouper group (lbs)
rfbsg,rev__dg,,,rfbsg__rev__dg Revenues Deep-water grouper group (USD)
rfbsg,lnd__tf,,,rfbsg__lnd__tf -Landings Tilefishes group (lbs)
rfbsg,rev__tf,,,rfbsg__rev__tf -Revenues Tilefishes group (USD)
rfbsg,lnd__ja,,,rfbsg__lnd__ja -Landings Jacks group (lbs)
rfbsg,rev__ja,,,rfbsg__rev__ja -Revenues Jacks group (USD)
rfbsg,lnd__tr,,,rfbsg__lnd__tr Landings Triggerfishes group (lbs)
rfbsg,rev__tr,,,rfbsg__rev__tr Revenues Triggerfishes group (USD)
rfbsg,lnd__gp,,,rfbsg__lnd__gp Landings Grunts and porgies group (lbs)
rfbsg,rev__gp,,,rfbsg__rev__gp Revenues Grunts and porgies group (USD)
rfbsg,lnd__cp,,,rfbsg__lnd__cp Landings Coastal pelagics group (lbs)
rfbsg,rev__cp,,,rfbsg__rev__cp Revenues Coastal pelagics group (USD)
rfbsg_t_2007_2014,lnd_vrl,,,rfbsg_t_2007_2014__lnd_vrl Landings 2007-2014 (lbs)
rfbsg_t_2007_2014,rv_vrll,,,rfbsg_t_2007_2014__rv_vrll Revenues 2007-2014 (USD)
rfbsg_t_2015_2021,lnd_vrl,,,rfbsg_t_2015_2021__lnd_vrl Landings 2015-2021 (lbs)
